Year,Country,fertility,life,population,child_mortality,gdp,region
1983,Lebanon,3.692,68.474,2851609,45.6,7026,Middle East & North Africa
1984,Lebanon,3.587,68.68,2872204,43.6,10182,Middle East & North Africa
1985,Lebanon,3.482,68.904,2885481,41.6,12739,Middle East & North Africa
1986,Lebanon,3.379,69.143,2888455,39.6,12021,Middle East & North Africa
1987,Lebanon,3.279,69.394,2884778,37.7,14077,Middle East & North Africa
1988,Lebanon,3.182,69.656,2884840,35.9,10186,Middle East & North Africa
1989,Lebanon,3.09,69.93,2902893,34.1,5891,Middle East & North Africa
1990,Lebanon,3.002,70.222,2948372,32.5,7734,Middle East & North Africa
1991,Lebanon,2.919,70.537,3026061,31,10497,Middle East & North Africa
1992,Lebanon,2.841,70.878,3130785,29.6,10699,Middle East & North Africa
1993,Lebanon,2.765,71.248,3249799,28.3,11136,Middle East & North Africa
1994,Lebanon,2.691,71.646,3364891,27,11729,Middle East & North Africa
1995,Lebanon,2.617,72.07,3462974,25.8,12254,Middle East & North Africa
1996,Lebanon,2.543,72.515,3539137,24.6,12726,Middle East & North Africa
1997,Lebanon,2.468,72.975,3597350,23.5,12347,Middle East & North Africa
1998,Lebanon,2.39,73.446,3644171,22.3,12703,Middle East & North Africa
1999,Lebanon,2.31,73.923,3690033,21.2,12475,Middle East & North Africa
2000,Lebanon,2.226,74.409,3742329,20,12335,Middle East & North Africa
2001,Lebanon,2.137,74.909,3802903,18.8,12356,Middle East & North Africa
2002,Lebanon,2.044,75.424,3868504,17.6,12199,Middle East & North Africa
2003,Lebanon,1.948,75.952,3935421,16.4,11998,Middle East & North Africa
2004,Lebanon,1.854,76.484,3998042,15.2,12348,Middle East & North Africa
2005,Lebanon,1.765,77.008,4052420,14.1,12258,Middle East & North Africa
2006,Lebanon,1.686,77.506,4097457,13,12171,Middle East & North Africa
2007,Lebanon,1.621,77.97,4134872,12.1,13122,Middle East & North Africa
2008,Lebanon,1.57,78.392,4166915,11.3,14158,Middle East & North Africa
2009,Lebanon,1.535,78.77,4196990,10.7,15393,Middle East & North Africa
2010,Lebanon,1.513,79.11,4227597,10.1,16263,Middle East & North Africa
2011,Lebanon,1.502,79.421,4259405,9.7,16431,Middle East & North Africa
2012,Lebanon,1.498,79.716,4291719,9.3,16633,Middle East & North Africa
2013,Lebanon,1.495,80.007,4324060,8.9,16623,Middle East & North Africa
1964,Lesotho,5.806,48.077,915820,189.7,711,Sub-Saharan Africa
1965,Lesotho,5.802,48.26,933664,189.5,708,Sub-Saharan Africa
1966,Lesotho,5.801,48.397,952235,188.8,707,Sub-Saharan Africa
1967,Lesotho,5.803,48.518,971576,187.1,767,Sub-Saharan Africa
1968,Lesotho,5.805,48.651,991576,184.5,748,Sub-Saharan Africa
1969,Lesotho,5.807,48.817,1012087,181,741,Sub-Saharan Africa
1970,Lesotho,5.808,49.031,1033044,177,742,Sub-Saharan Africa
1971,Lesotho,5.807,49.303,1054333,172.9,659,Sub-Saharan Africa
1972,Lesotho,5.802,49.627,1076100,168.5,768,Sub-Saharan Africa
1973,Lesotho,5.794,49.999,1098849,163.9,949,Sub-Saharan Africa
1974,Lesotho,5.78,50.418,1123261,158.8,984,Sub-Saharan Africa
1975,Lesotho,5.761,50.887,1149797,153.3,882,Sub-Saharan Africa
1976,Lesotho,5.736,51.408,1178551,147.4,1002,Sub-Saharan Africa
1977,Lesotho,5.706,51.973,1209290,141.2,1149,Sub-Saharan Africa
1978,Lesotho,5.672,52.57,1241725,135,1339,Sub-Saharan Africa
1979,Lesotho,5.633,53.184,1275421,128.7,1162,Sub-Saharan Africa
1980,Lesotho,5.589,53.795,1309981,122.6,1100,Sub-Saharan Africa
1981,Lesotho,5.542,54.38,1345398,116.7,1081,Sub-Saharan Africa
1982,Lesotho,5.491,54.927,1381537,111.1,1090,Sub-Saharan Africa
1983,Lesotho,5.436,55.433,1417720,105.9,1079,Sub-Saharan Africa
1984,Lesotho,5.377,55.897,1453098,101.3,1101,Sub-Saharan Africa
1985,Lesotho,5.313,56.363,1487079,97.2,1113,Sub-Saharan Africa
1986,Lesotho,5.244,56.895,1519369,93.6,1144,Sub-Saharan Africa
1987,Lesotho,5.169,57.513,1550144,90.4,1124,Sub-Saharan Africa
1988,Lesotho,5.088,58.192,1579900,87.7,1202,Sub-Saharan Africa
1989,Lesotho,5.004,58.875,1609386,85.4,1248,Sub-Saharan Africa
1990,Lesotho,4.919,59.442,1639177,83.7,1301,Sub-Saharan Africa
1991,Lesotho,4.837,59.75,1669190,82.8,1326,Sub-Saharan Africa
1992,Lesotho,4.759,59.695,1699284,82.9,1395,Sub-Saharan Africa
1993,Lesotho,4.686,59.215,1729896,84,1413,Sub-Saharan Africa
1994,Lesotho,4.617,58.302,1761558,86.4,1461,Sub-Saharan Africa
1995,Lesotho,4.548,56.958,1794531,89.6,1466,Sub-Saharan Africa
1996,Lesotho,4.475,55.222,1829222,93,1520,Sub-Saharan Africa
1997,Lesotho,4.394,53.235,1865218,96.4,1563,Sub-Saharan Africa
1998,Lesotho,4.302,51.156,1900962,99.8,1572,Sub-Saharan Africa
1999,Lesotho,4.2,49.114,1934337,102.9,1563,Sub-Saharan Africa
2000,Lesotho,4.089,47.265,1963878,106,1629,Sub-Saharan Africa
2001,Lesotho,3.975,45.745,1988983,108.6,1684,Sub-Saharan Africa
2002,Lesotho,3.862,44.611,2010261,111.2,1680,Sub-Saharan Africa
2003,Lesotho,3.754,43.889,2028976,113.8,1747,Sub-Saharan Africa
2004,Lesotho,3.654,43.597,2047006,115.8,1775,Sub-Saharan Africa
2005,Lesotho,3.562,43.724,2065752,117.3,1810,Sub-Saharan Africa
2006,Lesotho,3.48,44.22,2085561,118.3,1873,Sub-Saharan Africa
2007,Lesotho,3.405,44.961,2106128,115.6,1947,Sub-Saharan Africa
2008,Lesotho,3.335,45.825,2127412,114.2,2041,Sub-Saharan Africa
2009,Lesotho,3.269,46.729,2149201,105.7,2091,Sub-Saharan Africa
2010,Lesotho,3.207,47.584,2171318,101.5,2235,Sub-Saharan Africa
2011,Lesotho,3.148,48.327,2193843,98.5,2301,Sub-Saharan Africa
2012,Lesotho,3.092,48.947,2216850,97.5,2390,Sub-Saharan Africa
2013,Lesotho,3.038,49.446,2240126,98.9,2473,Sub-Saharan Africa
1964,Liberia,6.5,36.049,1230038,311.7,1287,Sub-Saharan Africa
1965,Liberia,6.524,36.52,1261555,308.8,1298,Sub-Saharan Africa
1966,Liberia,6.552,37.03,1294368,305.6,1348,Sub-Saharan Africa
1967,Liberia,6.583,37.564,1328506,301.4,1386,Sub-Saharan Africa
1968,Liberia,6.617,38.113,1364046,296.8,1399,Sub-Saharan Africa
1969,Liberia,6.655,38.674,1401077,291.6,1446,Sub-Saharan Africa
1970,Liberia,6.695,39.254,1439677,286.3,1486,Sub-Saharan Africa
1971,Liberia,6.736,39.867,1479831,281.2,1507,Sub-Saharan Africa
1972,Liberia,6.777,40.522,1521565,276.2,1507,Sub-Saharan Africa
1973,Liberia,6.815,41.217,1565044,271.3,1510,Sub-Saharan Africa
1974,Liberia,6.849,41.943,1610474,266.1,1505,Sub-Saharan Africa
1975,Liberia,6.88,42.686,1657971,261.2,1394,Sub-Saharan Africa
1976,Liberia,6.907,43.431,1706539,256.8,1408,Sub-Saharan Africa
1977,Liberia,6.93,44.156,1755815,252.3,1370,Sub-Saharan Africa
1978,Liberia,6.95,44.838,1807164,248.4,1397,Sub-Saharan Africa
1979,Liberia,6.964,45.458,1862497,244.6,1408,Sub-Saharan Africa
1980,Liberia,6.973,45.996,1922536,241.1,1268,Sub-Saharan Africa
1981,Liberia,6.973,46.435,1988931,238,1168,Sub-Saharan Africa
1982,Liberia,6.964,46.778,2059483,235.6,1138,Sub-Saharan Africa
1983,Liberia,6.946,47.032,2126455,234,1055,Sub-Saharan Africa
1984,Liberia,6.917,47.206,2179471,233.7,1015,Sub-Saharan Africa
1985,Liberia,6.875,47.298,2211509,235,971,Sub-Saharan Africa
1986,Liberia,6.82,47.309,2221350,237.8,947,Sub-Saharan Africa
1987,Liberia,6.752,47.26,2212690,242.1,959,Sub-Saharan Africa
1988,Liberia,6.673,47.189,2189831,246.9,988,Sub-Saharan Africa
1989,Liberia,6.587,47.138,2159264,251.5,1020,Sub-Saharan Africa
1990,Liberia,6.499,47.183,2127098,255,503,Sub-Saharan Africa
1991,Liberia,6.414,47.406,2091355,256.7,439,Sub-Saharan Africa
1992,Liberia,6.336,47.839,2054179,255.4,290,Sub-Saharan Africa
1993,Liberia,6.267,48.475,2030591,251.6,197,Sub-Saharan Africa
1994,Liberia,6.208,49.283,2039922,245.5,153,Sub-Saharan Africa
1995,Liberia,6.156,50.163,2094591,237.4,142,Sub-Saharan Africa
1996,Liberia,6.109,50.984,2203809,227.7,151,Sub-Saharan Africa
1997,Liberia,6.061,51.641,2360511,217.1,289,Sub-Saharan Africa
1998,Liberia,6.008,52.082,2540835,205.8,346,Sub-Saharan Africa
1999,Liberia,5.948,52.314,2710963,193.9,397,Sub-Saharan Africa
2000,Liberia,5.88,52.424,2847290,181.8,473,Sub-Saharan Africa
2001,Liberia,5.804,52.549,2939296,169.7,557,Sub-Saharan Africa
2002,Liberia,5.722,52.828,2996082,157.6,718,Sub-Saharan Africa
2003,Liberia,5.635,53.347,3037412,145.9,474,Sub-Saharan Africa
2004,Liberia,5.547,54.116,3092721,134.8,441,Sub-Saharan Africa
2005,Liberia,5.456,55.088,3182539,124.7,470,Sub-Saharan Africa
2006,Liberia,5.366,56.164,3313718,115.7,499,Sub-Saharan Africa
2007,Liberia,5.277,57.212,3477197,107.8,555,Sub-Saharan Africa
2008,Liberia,5.19,58.132,3658460,100.9,588,Sub-Saharan Africa
2009,Liberia,5.106,58.884,3835929,94.7,643,Sub-Saharan Africa
2010,Liberia,5.024,59.459,3994122,89.3,689,Sub-Saharan Africa
2011,Liberia,4.945,59.885,4128572,84.5,729,Sub-Saharan Africa
2012,Liberia,4.868,60.23,4244684,80.3,782,Sub-Saharan Africa
2013,Liberia,4.792,60.556,4348740,76.3,875,Sub-Saharan Africa
1964,Libya,7.676,48.914,1561744,215.2,30463,Middle East & North Africa
1965,Libya,7.71,50.303,1622996,200.6,37902,Middle East & North Africa
1966,Libya,7.743,51.581,1688870,186.6,43467,Middle East & North Africa
1967,Libya,7.776,52.778,1759132,173.2,47050,Middle East & North Africa
1968,Libya,7.808,53.921,1833611,160.5,60948,Middle East & North Africa
1969,Libya,7.838,55.011,1911968,148.7,66299,Middle East & North Africa
1970,Libya,7.867,56.052,1994000,137.8,67491,Middle East & North Africa
1971,Libya,7.898,57.046,2079897,127.6,61707,Middle East & North Africa
1972,Libya,7.929,57.995,2169965,118.3,52706,Middle East & North Africa
1973,Libya,7.957,58.902,2264278,109.9,50828,Middle East & North Africa
1974,Libya,7.979,59.77,2362900,102.3,41433,Middle East & North Africa
1975,Libya,7.992,60.6,2466000,95.5,42903,Middle East & North Africa
1976,Libya,7.992,61.393,2572300,89.4,51382,Middle East & North Africa
1977,Libya,7.976,62.15,2681887,84,55104,Middle East & North Africa
1978,Libya,7.939,62.869,2797780,79.1,56017,Middle East & North Africa
1979,Libya,7.873,63.548,2924086,74.8,61213,Middle East & North Africa
1980,Libya,7.769,64.184,3063000,70.8,59420,Middle East & North Africa
1981,Libya,7.619,64.77,3216430,67.2,45426,Middle East & North Africa
1982,Libya,7.422,65.305,3381390,63.7,44043,Middle East & North Africa
1983,Libya,7.179,65.791,3549220,60.5,40280,Middle East & North Africa
1984,Libya,6.897,66.234,3708142,57.3,35408,Middle East & North Africa
1985,Libya,6.584,66.64,3849801,54.4,35825,Middle East & North Africa
1986,Libya,6.252,67.02,3970886,51.6,30572,Middle East & North Africa
1987,Libya,5.913,67.385,4074021,48.9,25010,Middle East & North Africa
1988,Libya,5.581,67.742,4164147,46.3,23850,Middle East & North Africa
1989,Libya,5.263,68.098,4249018,43.9,24458,Middle East & North Africa
1990,Libya,4.966,68.455,4334459,41.6,26928,Middle East & North Africa
1991,Libya,4.688,68.814,4421885,39.5,30431,Middle East & North Africa
1992,Libya,4.426,69.168,4509970,37.6,28944,Middle East & North Africa
1993,Libya,4.178,69.514,4598629,35.9,27251,Middle East & North Africa
1994,Libya,3.945,69.855,4687106,34.4,27202,Middle East & North Africa
1995,Libya,3.732,70.19,4775009,33.1,23363,Middle East & North Africa
1996,Libya,3.544,70.525,4862665,31.9,23533,Middle East & North Africa
1997,Libya,3.383,70.86,4951076,30.8,22977,Middle East & North Africa
1998,Libya,3.248,71.196,5041233,29.9,22502,Middle East & North Africa
1999,Libya,3.139,71.534,5134324,29,22235,Middle East & North Africa
2000,Libya,3.052,71.872,5231189,28.1,22682,Middle East & North Africa
2001,Libya,2.984,72.21,5331311,27.3,21933,Middle East & North Africa
2002,Libya,2.929,72.545,5434293,26.5,21390,Middle East & North Africa
2003,Libya,2.882,72.873,5541062,25.5,23808,Middle East & North Africa
2004,Libya,2.836,73.191,5652797,24.4,24489,Middle East & North Africa
2005,Libya,2.79,73.494,5769709,23.1,26967,Middle East & North Africa
2006,Libya,2.741,73.779,5893738,21.7,28256,Middle East & North Africa
2007,Libya,2.69,74.045,6023053,20.2,29553,Middle East & North Africa
2008,Libya,2.637,74.291,6149620,18.8,29853,Middle East & North Africa
2009,Libya,2.582,74.519,6262667,17.6,29182,Middle East & North Africa
2010,Libya,2.525,74.732,6355112,16.6,30261,Middle East & North Africa
2011,Libya,2.467,74.934,6422772,17.6,11358,Middle East & North Africa
2012,Libya,2.41,75.13,6469497,15.1,23032,Middle East & North Africa
2013,Libya,2.356,75.325,6506095,14.5,19760,Middle East & North Africa
1964,Lithuania,2.378,71.94,2927610,37.22,10728,Europe & Central Asia
1965,Lithuania,2.348,71.69,2966462,32.28,11208,Europe & Central Asia
1966,Lithuania,2.328,71.85,3003168,30.33,11628,Europe & Central Asia
1967,Lithuania,2.316,71.92,3037887,29.9,12024,Europe & Central Asia
1968,Lithuania,2.311,71.61,3071192,28.9,12613,Europe & Central Asia
1969,Lithuania,2.309,71.22,3104044,27.4,12679,Europe & Central Asia
1970,Lithuania,2.308,71.08,3137113,25.4,13539,Europe & Central Asia
1971,Lithuania,2.303,72.02,3170575,23.5,13774,Europe & Central Asia
1972,Lithuania,2.291,71.26,3204064,22.8,13725,Europe & Central Asia
1973,Lithuania,2.271,71.61,3237070,23.5,14749,Europe & Central Asia
1974,Lithuania,2.243,71.54,3268867,24.6,15047,Europe & Central Asia
1975,Lithuania,2.208,71.15,3298964,25.1,14961,Europe & Central Asia
1976,Lithuania,2.17,71.29,3327193,24.9,15533,Europe & Central Asia
1977,Lithuania,2.133,71.04,3353830,24.4,15770,Europe & Central Asia
1978,Lithuania,2.1,70.83,3379395,23.9,16039,Europe & Central Asia
1979,Lithuania,2.074,70.7,3404630,23.3,15843,Europe & Central Asia
1980,Lithuania,2.056,70.68,3430089,22.5,15747,Europe & Central Asia
1981,Lithuania,2.048,70.66,3455403,21.8,15774,Europe & Central Asia
1982,Lithuania,2.047,71.06,3480356,21.2,16042,Europe & Central Asia
1983,Lithuania,2.05,70.98,3505769,20.6,16428,Europe & Central Asia
1984,Lithuania,2.056,70.49,3532724,20,16497,Europe & Central Asia
1985,Lithuania,2.06,70.66,3561668,19.1,16510,Europe & Central Asia
1986,Lithuania,2.06,72.33,3593334,18,17052,Europe & Central Asia
1987,Lithuania,2.051,72.14,3626602,16.8,17140,Europe & Central Asia
1988,Lithuania,2.033,71.98,3657818,15.8,17378,Europe & Central Asia
1989,Lithuania,2.004,71.66,3682059,15.5,17564,Europe & Central Asia
1990,Lithuania,1.963,71.37,3695890,16.5,17041,Europe & Central Asia
1991,Lithuania,1.91,70.55,3698095,18.4,16038,Europe & Central Asia
1992,Lithuania,1.848,70.4,3689943,19.8,12629,Europe & Central Asia
1993,Lithuania,1.781,69.01,3673606,19.7,10615,Europe & Central Asia
1994,Lithuania,1.711,68.58,3652438,18.4,9599,Europe & Central Asia
1995,Lithuania,1.64,69.02,3629104,16.6,10115,Europe & Central Asia
1996,Lithuania,1.57,70.15,3604044,14.8,10606,Europe & Central Asia
1997,Lithuania,1.502,70.99,3577128,13.5,11360,Europe & Central Asia
1998,Lithuania,1.439,71.32,3549816,12.8,12200,Europe & Central Asia
1999,Lithuania,1.383,71.71,3523732,12.3,12002,Europe & Central Asia
2000,Lithuania,1.338,72.18,3500028,11.8,12484,Europe & Central Asia
2001,Lithuania,1.308,71.79,3479622,11.3,13314,Europe & Central Asia
2002,Lithuania,1.293,71.98,3462402,10.9,14268,Europe & Central Asia
2003,Lithuania,1.292,72.24,3447170,10.6,15709,Europe & Central Asia
2004,Lithuania,1.303,72.23,3432060,10.3,16913,Europe & Central Asia
2005,Lithuania,1.325,71.7,3415748,9.9,18256,Europe & Central Asia
2006,Lithuania,1.354,71.47,3397895,9.4,19923,Europe & Central Asia
2007,Lithuania,1.386,71.39,3379043,8.8,22396,Europe & Central Asia
2008,Lithuania,1.417,71.84,3359799,8.2,23223,Europe & Central Asia
2009,Lithuania,1.445,71.526,3341097,7.4,20003,Europe & Central Asia
2010,Lithuania,1.468,71.631,3323611,6.8,20758,Europe & Central Asia
2011,Lithuania,1.487,71.777,3307481,6.1,22530,Europe & Central Asia
2012,Lithuania,1.504,71.942,3292454,5.5,23711,Europe & Central Asia
2013,Lithuania,1.519,72.11,3278337,4.9,24732,Europe & Central Asia
1964,Luxembourg,2.374,69.07,328603,29.2,25235,Europe & Central Asia
1965,Luxembourg,2.342,69.4,331505,28.1,25359,Europe & Central Asia
1966,Luxembourg,2.291,69.31,333465,27,25371,Europe & Central Asia
1967,Luxembourg,2.223,69.69,334657,25.9,25163,Europe & Central Asia
1968,Luxembourg,2.143,70.28,335573,24.7,26273,Europe & Central Asia
1969,Luxembourg,2.054,69.84,336922,23.6,29081,Europe & Central Asia
1970,Luxembourg,1.96,69.58,339184,22.4,29363,Europe & Central Asia
1971,Luxembourg,1.867,69.47,342560,21.1,29877,Europe & Central Asia
1972,Luxembourg,1.778,70.71,346805,20,31508,Europe & Central Asia
1973,Luxembourg,1.697,70.47,351409,18.8,33777,Europe & Central Asia
1974,Luxembourg,1.627,70.55,355635,17.7,34948,Europe & Central Asia
1975,Luxembourg,1.57,70.5,358956,16.7,32351,Europe & Central Asia
1976,Luxembourg,1.528,70.45,361239,15.8,32993,Europe & Central Asia
1977,Luxembourg,1.497,71.75,362669,15.1,33506,Europe & Central Asia
1978,Luxembourg,1.476,71.71,363435,14.4,34756,Europe & Central Asia
1979,Luxembourg,1.463,72.4,363846,13.8,35697,Europe & Central Asia
1980,Luxembourg,1.456,72.57,364158,13.3,35908,Europe & Central Asia
1981,Luxembourg,1.452,72.38,364405,12.9,35680,Europe & Central Asia
1982,Luxembourg,1.45,72.47,364589,12.5,36047,Europe & Central Asia
1983,Luxembourg,1.448,73.35,364897,12,37142,Europe & Central Asia
1984,Luxembourg,1.448,73.11,365550,11.6,39480,Europe & Central Asia
1985,Luxembourg,1.45,73.68,366716,11.2,40621,Europe & Central Asia
1986,Luxembourg,1.458,74.61,368467,10.7,44557,Europe & Central Asia
1987,Luxembourg,1.473,74.15,370806,10.2,46150,Europe & Central Asia
1988,Luxembourg,1.496,74.75,373733,9.8,50010,Europe & Central Asia
1989,Luxembourg,1.526,74.68,377218,9.3,54556,Europe & Central Asia
1990,Luxembourg,1.562,75.39,381225,8.8,56922,Europe & Central Asia
1991,Luxembourg,1.6,75.47,385755,8.3,61019,Europe & Central Asia
1992,Luxembourg,1.637,75.16,390778,7.7,61310,Europe & Central Asia
1993,Luxembourg,1.669,75.74,396179,7.3,63033,Europe & Central Asia
1994,Luxembourg,1.694,76.36,401804,6.8,64557,Europe & Central Asia
1995,Luxembourg,1.711,76.47,407522,6.4,64568,Europe & Central Asia
1996,Luxembourg,1.72,76.49,413377,6,64660,Europe & Central Asia
1997,Luxembourg,1.721,76.81,419355,5.7,67646,Europe & Central Asia
1998,Luxembourg,1.716,77,425216,5.4,71147,Europe & Central Asia
1999,Luxembourg,1.707,77.67,430650,5.1,76102,Europe & Central Asia
2000,Luxembourg,1.695,77.82,435491,4.8,81425,Europe & Central Asia
2001,Luxembourg,1.68,77.95,439509,4.6,82071,Europe & Central Asia
2002,Luxembourg,1.665,78.08,442882,4.3,83876,Europe & Central Asia
2003,Luxembourg,1.65,77.96,446340,4.1,83849,Europe & Central Asia
2004,Luxembourg,1.638,79.26,450888,3.8,86738,Europe & Central Asia
2005,Luxembourg,1.629,79.56,457197,3.5,88944,Europe & Central Asia
2006,Luxembourg,1.624,79.44,465586,3.3,91810,Europe & Central Asia
2007,Luxembourg,1.623,79.358,475714,3,96245,Europe & Central Asia
2008,Luxembourg,1.626,79.563,486781,2.8,95001,Europe & Central Asia
2009,Luxembourg,1.631,79.81,497637,2.6,88284,Europe & Central Asia
2010,Luxembourg,1.64,80.004,507448,2.4,91147,Europe & Central Asia
2011,Luxembourg,1.65,80.191,515941,2.3,91469,Europe & Central Asia
2012,Luxembourg,1.661,80.371,523362,2.1,89153,Europe & Central Asia
2013,Luxembourg,1.671,80.547,530018,2,88850,Europe & Central Asia
1964,"Macao, China",3.926,66.812,197519,,9874,East Asia & Pacific
1965,"Macao, China",3.594,67.244,206906,,10580,East Asia & Pacific
1966,"Macao, China",3.261,67.66,216869,,11337,East Asia & Pacific
1967,"Macao, China",2.942,68.062,227256,,12148,East Asia & Pacific
1968,"Macao, China",2.647,68.451,237127,,13016,East Asia & Pacific
1969,"Macao, China",2.388,68.829,245308,,13947,East Asia & Pacific
1970,"Macao, China",2.166,69.198,250995,,14945,East Asia & Pacific
1971,"Macao, China",1.98,69.559,253879,,15652,East Asia & Pacific
1972,"Macao, China",1.821,69.914,254280,,16555,East Asia & Pacific
1973,"Macao, China",1.683,70.264,252843,,17630,East Asia & Pacific
1974,"Macao, China",1.568,70.61,250548,,18840,East Asia & Pacific
1975,"Macao, China",1.484,70.952,248211,,20157,East Asia & Pacific
1976,"Macao, China",1.44,71.289,245913,,21539,East Asia & Pacific
1977,"Macao, China",1.441,71.62,243725,,23048,East Asia & Pacific
1978,"Macao, China",1.485,71.944,242455,,24617,East Asia & Pacific
1979,"Macao, China",1.563,72.261,243067,,25900,East Asia & Pacific
1980,"Macao, China",1.665,72.571,246230,25.41,27185,East Asia & Pacific
1981,"Macao, China",1.777,72.875,252251,24.24,28326,East Asia & Pacific
1982,"Macao, China",1.882,73.172,260913,23.12,28386,East Asia & Pacific
1983,"Macao, China",1.966,73.463,271665,22.05,29963,East Asia & Pacific
1984,"Macao, China",2.021,73.749,283662,21.03,31151,East Asia & Pacific
1985,"Macao, China",2.04,74.03,296210,20.05,30019,East Asia & Pacific
1986,"Macao, China",2.019,74.305,309212,19.12,30662,East Asia & Pacific
1987,"Macao, China",1.966,74.576,322637,18.23,33648,East Asia & Pacific
1988,"Macao, China",1.891,74.842,335931,17.39,34855,East Asia & Pacific
1989,"Macao, China",1.798,75.104,348443,16.58,35328,East Asia & Pacific
1990,"Macao, China",1.694,75.36,359709,15.81,36984,East Asia & Pacific
1991,"Macao, China",1.589,75.611,369493,15.08,37340,East Asia & Pacific
1992,"Macao, China",1.487,75.857,377886,14.37,41375,East Asia & Pacific
1993,"Macao, China",1.394,76.097,385193,13.71,42708,East Asia & Pacific
1994,"Macao, China",1.312,76.331,391906,13.07,43778,East Asia & Pacific
1995,"Macao, China",1.242,76.56,398426,12.46,44465,East Asia & Pacific
1996,"Macao, China",1.179,76.782,404808,11.88,43547,East Asia & Pacific
1997,"Macao, China",1.119,76.999,411050,11.33,42700,East Asia & Pacific
1998,"Macao, China",1.057,77.212,417435,10.8,40077,East Asia & Pacific
1999,"Macao, China",0.996,77.42,424292,10.3,38504,East Asia & Pacific
2000,"Macao, China",0.939,77.627,431867,9.82,40091,East Asia & Pacific
2001,"Macao, China",0.891,77.833,440265,9.36,40672,East Asia & Pacific
2002,"Macao, China",0.856,78.04,449472,8.92,43688,East Asia & Pacific
2003,"Macao, China",0.838,78.248,459456,8.51,48470,East Asia & Pacific
2004,"Macao, China",0.836,78.458,470127,8.11,60450,East Asia & Pacific
2005,"Macao, China",0.849,78.671,481390,7.73,64277,East Asia & Pacific
2006,"Macao, China",0.874,78.886,493267,7.37,71760,East Asia & Pacific
2007,"Macao, China",0.906,79.103,505709,7.04,79813,East Asia & Pacific
2008,"Macao, China",0.939,79.32,518463,6.72,80191,East Asia & Pacific
2009,"Macao, China",0.973,79.538,531195,6.42,79361,East Asia & Pacific
2010,"Macao, China",1.003,79.754,543656,6.14,98722,East Asia & Pacific
2011,"Macao, China",1.031,79.971,555731,5.86,117188,East Asia & Pacific
2012,"Macao, China",1.058,80.186,567441,5.59,125515,East Asia & Pacific
2013,"Macao, China",1.083,80.4,578844,5.33,136540,East Asia & Pacific
1964,"Macedonia, FYR",3.446,63.06,1462410,157.45,4987,Europe & Central Asia
1965,"Macedonia, FYR",3.358,63.642,1481397,150.94,5075,Europe & Central Asia
1966,"Macedonia, FYR",3.27,64.216,1498995,144.7,5300,Europe & Central Asia
1967,"Macedonia, FYR",3.185,64.775,1515804,138.72,5347,Europe & Central Asia
1968,"Macedonia, FYR",3.108,65.313,1532371,132.98,5417,Europe & Central Asia
1969,"Macedonia, FYR",3.039,65.824,1549553,127.48,5978,Europe & Central Asia
1970,"Macedonia, FYR",2.98,66.301,1567968,122.21,6221,Europe & Central Asia
1971,"Macedonia, FYR",2.928,66.736,1587484,113.94,6881,Europe & Central Asia
1972,"Macedonia, FYR",2.88,67.128,1607799,106.22,7057,Europe & Central Asia
1973,"Macedonia, FYR",2.834,67.473,1629127,99.02,7235,Europe & Central Asia
1974,"Macedonia, FYR",2.789,67.772,1651721,92.32,8100,Europe & Central Asia
1975,"Macedonia, FYR",2.745,68.02,1675598,86.06,8033,Europe & Central Asia
1976,"Macedonia, FYR",2.703,68.212,1701231,80.23,8207,Europe & Central Asia
1977,"Macedonia, FYR",2.665,68.354,1728165,74.8,8727,Europe & Central Asia
1978,"Macedonia, FYR",2.629,68.461,1754389,69.73,9133,Europe & Central Asia
1979,"Macedonia, FYR",2.597,68.548,1777205,65.01,9682,Europe & Central Asia
1980,"Macedonia, FYR",2.567,68.639,1794830,61.99,10094,Europe & Central Asia
1981,"Macedonia, FYR",2.537,68.763,1806228,56.5,10216,Europe & Central Asia
1982,"Macedonia, FYR",2.507,68.935,1812327,55,10229,Europe & Central Asia
1983,"Macedonia, FYR",2.474,69.161,1815719,53,10264,Europe & Central Asia
1984,"Macedonia, FYR",2.44,69.44,1820117,50.8,10471,Europe & Central Asia
1985,"Macedonia, FYR",2.404,69.759,1828148,49.5,10505,Europe & Central Asia
1986,"Macedonia, FYR",2.369,70.091,1840767,48.8,10885,Europe & Central Asia
1987,"Macedonia, FYR",2.336,70.411,1857034,47.3,10717,Europe & Central Asia
1988,"Macedonia, FYR",2.305,70.696,1875387,43.9,10524,Europe & Central Asia
1989,"Macedonia, FYR",2.275,70.94,1893409,39.7,10350,Europe & Central Asia
1990,"Macedonia, FYR",2.244,71.146,1909353,36.6,9563,Europe & Central Asia
1991,"Macedonia, FYR",2.208,71.325,1922774,35,8995,Europe & Central Asia
1992,"Macedonia, FYR",2.164,71.496,1934265,33.5,8454,Europe & Central Asia
1993,"Macedonia, FYR",2.113,71.674,1944343,31.1,7878,Europe & Central Asia
1994,"Macedonia, FYR",2.054,71.867,1953874,27.8,7779,Europe & Central Asia
1995,"Macedonia, FYR",1.989,72.077,1963484,24.6,7700,Europe & Central Asia
1996,"Macedonia, FYR",1.92,72.304,1973283,21.8,7759,Europe & Central Asia
1997,"Macedonia, FYR",1.852,72.541,1982994,19.6,7805,Europe & Central Asia
